MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,FrstFlrSF,BsmtFinSF2_Flag,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,RemodAdd,BuiltYear1,BuiltYear2,BuiltYear3,BuiltYear4,BuiltYear5,BsmtFTM_Flag,GasA_Flag,HasGrg,HasPool,SalePrice
60,4,65.0,91.92388155425118,1,1,1,1,1,1,1,2.0,7,5,2003,2003,1,1,1,2,4,3,1,4,3,1,2,26.570660511172846,0,12.24744871391589,29.257477676655586,5,1,5,41.352146256270665,1,0,2,1,3,1,4,8,1,0,0,1,2,2,23.40939982143925,3,3,0.0,7.810249675906654,0,0,0,2,2008,1,1,6.752270376141742,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,12.247694320220994
20,4,80.0,97.97958971132712,1,1,1,4,2,1,1,1.0,6,8,1976,1976,1,1,3,1,3,3,2,4,3,4,3,31.272991542223778,0,16.852299546352718,35.52463933666322,5,1,5,35.52463933666322,0,1,2,0,3,1,3,6,1,1,3,1,2,2,21.447610589527216,3,3,17.26267650163207,0.0,0,0,0,5,2007,1,1,7.140453043101158,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,12.109010932687042
60,4,68.0,106.06601717798213,1,2,1,1,1,1,1,2.0,7,5,2001,2002,1,1,1,2,4,3,1,4,3,2,2,22.045407685048602,0,20.83266665599966,30.331501776206203,5,1,5,42.261093218230876,1,0,2,1,3,1,4,6,1,1,3,1,2,2,24.657656011875904,3,3,0.0,6.48074069840786,0,0,0,9,2008,1,1,6.824373670043086,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,12.31716669303576
70,4,60.0,97.72410142846032,1,2,1,2,1,1,1,2.0,7,5,1915,1970,1,1,4,1,3,3,3,3,4,1,3,14.696938456699069,0,23.2379000772445,27.49545416973504,4,1,5,41.43669871020132,1,0,1,0,3,1,4,7,1,1,4,2,1,3,25.337718918639855,3,3,0.0,5.916079783099616,0,0,0,2,2006,1,3,6.8679744089702925,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,11.84939770159144
60,4,84.0,119.41524190822544,1,2,1,4,1,1,1,2.0,8,5,2000,2000,1,1,1,2,4,3,1,4,3,3,2,25.592967784139454,0,22.135943621178654,33.83784863137726,5,1,5,46.88283267892417,1,0,2,1,4,1,4,9,1,1,3,1,2,3,28.91366458960192,3,3,13.856406460551018,9.16515138991168,0,0,0,12,2008,1,1,7.0431599159883405,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,12.429216196844383
50,4,85.0,118.80656547514535,1,2,1,1,1,1,1,1.8,5,5,1993,1995,1,1,1,1,3,3,6,4,3,1,2,27.055498516937366,0,8.0,28.21347195933177,5,1,5,36.90528417449187,1,0,1,1,1,1,3,5,1,0,0,1,1,2,21.908902300206645,3,3,6.324555320336759,5.477225575051661,1,2,700,10,2009,1,1,6.679599185844383,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,11.870599909242044
20,4,75.0,100.41912168506553,1,1,1,1,1,1,1,1.0,8,5,2004,2005,1,1,1,3,4,3,1,5,3,3,2,37.0,0,17.804493814764857,41.060930335295616,5,1,5,41.15823125451335,1,0,2,0,3,1,4,7,1,1,4,1,2,2,25.219040425836983,3,3,15.968719422671311,7.54983443527075,0,0,0,8,2007,1,1,7.434847875211999,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,12.634603026569334
60,4,69.0,101.89209979188769,1,2,1,2,5,1,1,2.0,7,6,1973,1973,1,1,2,3,3,3,2,4,3,2,3,29.30870177950569,32,14.696938456699069,33.27160951922825,5,1,5,45.71651780264984,1,0,2,1,3,1,3,7,1,2,3,1,2,2,22.0,3,3,15.329709716755891,14.2828568570857,0,2,350,11,2009,1,1,7.009408932708637,5.656854249492381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,12.206072645530174
50,2,51.0,78.23042886243178,1,1,1,1,3,1,1,1.8,7,5,1931,1950,1,1,7,1,3,3,3,3,3,1,1,0.0,0,30.854497241083024,30.854497241083024,4,1,3,42.118879377305376,0,0,2,0,2,2,3,8,2,2,3,2,1,2,21.633307652783937,3,3,9.486832980505138,0.0,0,0,0,4,2008,1,3,6.92951677076365,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,11.77452020265869
190,4,50.0,86.13942186943211,1,1,1,2,3,3,2,1.5,5,6,1939,1950,1,1,3,1,3,3,3,3,3,1,2,29.171904291629644,0,11.832159566199232,31.480152477394387,5,1,5,32.817678162843876,1,0,1,0,2,2,3,5,1,2,3,1,2,1,14.317821063276353,3,3,0.0,2.0,0,0,0,1,2008,1,1,6.981934677156389,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,11.678439903447801
